,Kingdom,Clade
I1841,2,1783272
I2818,2,1783272
I4083,2,1224
I2108,2,1783272
I591,2,1224
I1961,2,1783272
I2911,2,1783272
I106,2,1224
I1550,2,29547
I1256,2,1783272
I37,2,1224
I2350,2,1783272
I1239,2,1224
I363,2,1224
I3624,2,1783272
I678,2,1783272
I816,2,1224
I1182,2,1224
I3800,2,1224
I2698,2,200918
I3696,2,1783272
I1115,2,1783272
I403,2,1783272
I2719,2,1783272
I2649,2,1783272
I2752,2,1783272
I2806,2,1224
I2406,2,1783272
I1306,2,1783272
I1281,2,32066
I245,2,1783272
I1326,2,1783272
I2410,2,1783272
I2966,2,1783272
I3352,2,1224
I200,2,1224
I2899,2,1783270
I56,2,1224
I1461,2,1783272
I857,2,1783272
I2164,2,1224
I2859,2,1783272
I340,2,1224
I479,2,1783272
I2046,2,1783272
I3650,2,1783270
I126,2,57723
I3830,2,29547
I3919,2,1783272
I470,2,1224
I399,2,1783272
I1739,2,1783272
I3658,2,1783272
I1864,2,1783270
I1693,2,1783270
I815,2,1224
I1734,2,1783272
I1779,2,1224
I3645,2,1783272
I3676,2,1783272
I828,2,1783272
I837,2,1783272
I620,2,1224
I1137,2,1783272
I458,2,1224
I2043,2,1783272
I3947,2,1224
I2645,2,1783272
I241,2,1783272
I3164,2,1783272
I711,2,1224
I1948,2,1783272
I2618,2,1783272
I548,2,1224
I1973,2,1224
I372,2,1224
I3177,2,1224
I3200,2,1224
I1062,2,203691
I3354,2,1224
I304,2,1224
I1465,2,1224
I3815,2,1783272
I2974,2,1783272
I3577,2,1783272
I3907,2,1224
I1037,2,1224
I1100,2,1783272
I1353,2,1783272
I2764,2,1783272
I3966,2,1224
I3170,2,1783272
I1707,2,29547
I3731,2,1783272
I3563,2,1783272
I983,2,1224
I3026,2,1783272
I376,2,1224
I3916,2,1224
I1476,2,1224
I1821,2,1783272
I1621,2,1783272
I1390,2,203691
I2610,2,1783272
I3930,2,1783272
I976,2,1224
I3929,2,1783272
I531,2,1224
I2565,2,1783272
I3667,2,29547
I1146,2,1783272
I912,2,1783272
I3055,2,1783272
I472,2,1224
I1888,2,29547
I438,2,1224
I2373,2,1224
I1654,2,1783272
I2174,2,1224
I3216,2,1783272
I2210,2,1783272
I2451,2,1783272
I2945,2,1783272
I1324,2,1783272
I2708,2,1783272
I3868,2,1224
I851,2,1783272
I1385,2,1783270
I2655,2,1783272
I3763,2,1783272
I3613,2,1224
I1663,2,1783272
I3050,2,1783272
I1186,2,1224
I626,2,1224
I74,2,1224
I1794,2,1224
I3176,2,1224
I726,2,1224
I2193,2,1224
I253,2,57723
I2466,2,203691
I3655,2,1783272
I4047,2,1224
I920,2,29547
I2786,2,1783272
I1338,2,1224
I2039,2,1783272
I1613,2,1224
I1027,2,1783257
I1441,2,29547
I980,2,1224
I1806,2,1224
I2864,2,1783272
I1847,2,1783272
I698,2,1224
I1442,2,29547
I519,2,1224
